xa,ya,za,xg,yg,zg,xm,ym,zm,temp,hum
-844,-791,159,-116455,-671,56762,-15100,44140,16760,19954,58819
-1139,169,-264,124267,-56335,-43334,-13964,46154,18103,19954,58819
-1938,-456,-315,31066,-6408,-22766,-14794,43420,10314,19954,58819
-250,210,847,-10375,-34423,48828,-14770,45617,-2343,19954,58819
-2546,138,-579,-68054,15319,-7568,-15258,41040,-5627,19954,58819
-1656,-378,-353,-100280,103210,18432,-14978,36682,15539,19954,58819
-801,-307,92,-97473,-3784,11108,-14807,42871,17272,19954,58819
-1029,360,-362,-20935,18737,-50781,-15661,46252,18725,19954,58819
-1283,186,-575,122192,-10681,-37780,-15344,44970,13537,19954,58819
-306,-177,1433,-13183,-4333,40954,-15600,44470,4833,19954,58819
-402,369,-713,23315,-23559,14892,-14831,44042,-1867,19954,58819
-575,-19,-234,112182,-25024,30700,-13574,36547,3601,19954,58819
-997,-210,-3,-87036,74829,-12512,-16162,41271,16882,19954,58819
-854,555,107,-81909,13549,-39001,-15454,45532,17761,19954,58819
-1239,161,-86,205627,-208496,-60913,-14978,46337,12683,19954,58819
-739,-279,28,44311,-57128,15625,-15551,44958,6872,19954,58819
-28,375,435,-52673,-53466,28503,-13488,44970,854,19954,58819
-2188,-130,-699,-94116,29663,-6164,-13146,40905,1452,19954,58819
-763,-299,72,-48767,98754,-10986,-15490,36425,17333,19954,58819
-800,-621,-287,-114257,18005,-57495,-14660,40234,18383,19954,58819
-850,250,-539,62988,-226074,-23681,-16186,46459,20825,19954,58819
-1483,163,1208,125732,12145,59997,-14770,43811,16308,19954,58819
-158,272,-319,64331,-45166,-12634,-12329,44934,5090,19954,58819
-304,13,-304,25512,-10375,-1037,-12219,39428,573,19954,58819
-1416,-148,29,142822,43518,-3540,-11340,30895,17285,19954,58819
-669,-164,246,-91674,63537,-40710,-13378,37243,21301,19954,58819
-1003,478,-172,-72265,52124,-51696,-14843,41381,22375,19954,58819
-1250,79,155,167724,-72631,33508,-14025,41833,17138,19954,58819
-761,-640,477,26245,49438,29174,-13488,39941,11767,19954,58819
-84,518,-1035,-7141,-31433,-15075,-9838,38269,4345,19954,58819
-2139,-152,630,27282,-3112,-40954,-8642,28881,5175,19954,57784
-908,-431,117,-50537,99548,-31433,-11560,32873,20849,19611,57784
-685,-411,-8,-17089,10620,-67504,-14013,35058,22412,19611,57784
-958,153,-121,142517,-281372,-6958,-13488,38745,16552,19611,57784
-1685,67,1111,39855,-27770,10131,-9167,38952,15002,19611,57784
-232,488,-343,45410,77331,10498,-9375,39660,7885,19611,57784
-271,-22,-362,-31372,57312,-63659,-7702,32666,6005,19611,57784
-2031,154,84,-87219,98144,64514,-12683,26770,23645,19611,57784
-696,-213,-183,-47546,51147,-37292,-15771,25036,27453,19611,57784
-692,135,-249,-55786,-83374,60363,-16870,31481,23669,19611,57784
-1571,44,1245,55725,-153137,46386,-14550,35937,20166,19611,57784
-323,675,-615,32775,-8972,19897,-10351,35412,12231,19611,57784
-49,-316,-225,21667,130981,1770,-9094,29711,9558,19611,57784
-359,-379,-94,-77819,19897,138061,-12500,25988,18078,19611,57784
-245,689,-245,-108703,25329,-31372,-13769,18969,28491,19611,57784
-1053,126,-324,-25817,87890,27526,-18017,24902,28735,19611,57784
-1162,188,97,50964,-234680,56457,-17041,31689,22717,19611,57784
-1631,1813,-839,-16906,-51818,-3662,-10449,33020,14355,19611,57784
-1487,-1101,-322,67626,58471,-21362,-9912,29199,12878,19611,57784
-2360,-67,185,-92285,68786,-47851,-7897,22045,13696,19611,57784
786,-467,-15,-100341,5310,-38269,-13378,15039,26831,19611,57784
-1338,387,-313,-62194,-50048,-26916,-16894,19897,27246,19611,57784
-996,135,-68,112304,-120300,60119,-16320,28186,24572,19611,57784
-1700,159,-804,33508,-42663,85205,-10778,29394,14526,19611,57784
-1508,582,-192,10986,26489,18249,-9692,26184,12182,19611,57784
-308,-136,-43,149414,149292,16296,-5603,21618,12329,19611,57784
-2838,-439,396,-103942,73547,33203,-11145,15844,24536,19611,57784
-829,494,-69,-52551,46630,-37658,-14221,16479,27014,19611,57784
-860,-258,-278,113830,42236,48645,-16430,21362,25537,19611,57784
-1457,-299,-878,73608,-20690,61584,-13500,24768,17199,19611,57784
-1525,532,-804,45166,-4211,10681,-9655,22216,14721,19611,57784
-201,-127,-270,70068,42480,-46142,-3063,18676,11950,19611,57784
-637,-207,225,-97778,85937,83374,-9277,12915,26367,19611,57784
-416,-426,-125,-149963,24353,-33508,-14306,15356,26721,19611,57784
-921,111,-274,170532,-3051,-21972,-16821,20825,27929,19611,57784
-1233,-532,591,49865,-40161,55847,-15307,24963,17004,19611,57784
-1670,710,-634,-13793,-35400,-23498,-10998,21923,12756,19611,57784
-229,-759,61,-93017,32836,11718,-5200,19775,12194,19611,57784
-2157,-493,35,-55786,104248,-14587,-8825,14123,24609,19611,57784
-1763,-339,-212,-94360,-48278,-54016,-14392,11450,24926,19611,57784
-820,324,-605,125915,5798,-24902,-18151,17712,26208,19611,57784
-1099,49,925,80261,31372,65795,-18542,24182,20080,19611,57784
-1389,220,-627,86181,-35156,2807,-11230,26708,14440,19611,57784
-321,411,26,-110595,11657,16540,-7104,20861,11340,19611,57784
-1052,-262,36,-119201,33020,-23620,-9545,12426,26501,19611,57784
-501,-306,-168,-85510,23071,-32653,-17053,10998,24853,19611,57784
-628,597,-229,8056,90637,-43029,-18139,13989,21813,19611,57784
-1063,187,1439,52978,-18432,-34240,-16992,23168,18286,19611,57784
-1334,-105,-814,40344,-35583,55847,-12365,22900,14978,19611,57784
-453,505,2,14465,109741,26916,-7678,17858,14025,19611,57784
-201,-156,202,-46936,4760,12084,-12731,11340,15588,19611,56750
-503,-367,56,-84106,79895,40893,-16625,7690,16235,19611,56750
-948,7,-174,-21850,25878,-18798,-18176,15734,26977,19449,56750
